Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Tevfik Rothuizen,Software engineering,w2,B0.201,ma,13
Tevfik Rothuizen,Software engineering,p2,A1.04,do,9
Tevfik Rothuizen,Algoritmen en complexiteit,p1,B0.201,vr,11
Tevfik Rothuizen,Algoritmen en complexiteit,w1,A1.10,wo,9
Tevfik Rothuizen,Netwerken en systeembeveiliging,p3,C0.110,vr,15
Tevfik Rothuizen,Algoritmen en complexiteit,h1,B0.201,vr,13
Tevfik Rothuizen,Software engineering,h1,C0.110,ma,15
Kenan Spronck,Compilerbouw practicum,p4,A1.08,di,11
Ruveyda van Lingen,Advanced Heuristics,p1,B0.201,di,11
Ruveyda van Lingen,Project Numerical Recipes,p3,B0.201,do,9
Ruveyda van Lingen,Netwerken en systeembeveiliging,p3,C0.110,vr,15
Ruveyda van Lingen,Architectuur en computerorganisatie,h1,A1.06,ma,11
Ruveyda van Lingen,Advanced Heuristics,h1,C0.110,wo,13
Ruveyda van Lingen,Architectuur en computerorganisatie,h2,A1.04,ma,9
Geartsje Jackson,Heuristieken 1,h1,B0.201,vr,15
Geartsje Jackson,Heuristieken 1,w2,C1.112,wo,13
Jurre van de Sanden,Bioinformatica,w2,A1.08,do,13
Jurre van de Sanden,Bioinformatica,p3,A1.10,wo,13
Jurre van de Sanden,Bioinformatica,h3,A1.10,ma,13
Jurre van de Sanden,Netwerken en systeembeveiliging,p1,A1.04,di,15
Jurre van de Sanden,Bioinformatica,h1,C0.110,ma,11
Jurre van de Sanden,Bioinformatica,h2,B0.201,ma,9
Marco Bloemert,Collectieve Intelligentie,h3,C0.110,di,15
Marco Bloemert,Collectieve Intelligentie,h2,C0.110,di,13
Marco Bloemert,Collectieve Intelligentie,p3,A1.06,vr,11
Marco Bloemert,Collectieve Intelligentie,w1,A1.04,do,11
Marco Bloemert,Collectieve Intelligentie,h1,C0.110,di,17
Wichard Hospers,Collectieve Intelligentie,h3,C0.110,di,15
Wichard Hospers,Collectieve Intelligentie,h2,C0.110,di,13
Wichard Hospers,Lineaire Algebra,h1,A1.10,ma,9
Wichard Hospers,Collectieve Intelligentie,p3,A1.06,vr,11
Wichard Hospers,Lineaire Algebra,h2,C1.112,ma,11
Wichard Hospers,Programmeren in Java 2,p1,C0.110,wo,11
Wichard Hospers,Collectieve Intelligentie,h1,C0.110,di,17
Wichard Hospers,Collectieve Intelligentie,w2,A1.06,do,9
Wiert Becht,Project Numerical Recipes,p3,B0.201,do,9
Josef van der Wiel,Project Genetic Algorithms,p3,A1.10,wo,15
Josef van der Wiel,Heuristieken 2,w1,A1.10,vr,15
Josef van der Wiel,Netwerken en systeembeveiliging,p2,A1.06,do,11
Josef van der Wiel,Analysemethoden en -technieken,h1,C1.112,di,11
Josef van der Wiel,Heuristieken 2,h1,A1.04,di,9
Rafaela Polfliet,Compilerbouw practicum,p2,B0.201,wo,11
Rafaela Polfliet,Advanced Heuristics,p2,A1.06,ma,9
Rafaela Polfliet,Advanced Heuristics,h1,C0.110,wo,13
