Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Patryk van de Kraats,Moderne Databases,w2,B0.201,di,13
Patryk van de Kraats,Moderne Databases,p1,B0.201,wo,13
Patryk van de Kraats,Machine Learning,h2,A1.06,di,11
Patryk van de Kraats,Machine Learning,h1,C1.112,do,15
Patryk van de Kraats,Moderne Databases,h1,C1.112,ma,13
Patryk van de Kraats,Programmeren in Java 2,p3,A1.10,vr,15
Nadir Remijn,Netwerken en systeembeveiliging,p4,A1.08,ma,11
Michel Sieben,Analysemethoden en -technieken,h1,C0.110,wo,15
Michel Sieben,Heuristieken 1,w2,C1.112,vr,13
Michel Sieben,Heuristieken 1,h1,B0.201,di,11
Titia Korbee,Programmeren in Java 2,p6,C1.112,wo,11
Titia Korbee,Collectieve Intelligentie,p2,A1.08,vr,9
Titia Korbee,Compilerbouw,w2,A1.10,wo,13
Titia Korbee,Collectieve Intelligentie,h2,C0.110,di,17
Titia Korbee,Netwerken en systeembeveiliging,p2,C1.112,ma,15
Titia Korbee,Collectieve Intelligentie,w1,A1.04,wo,15
Titia Korbee,Collectieve Intelligentie,h1,C0.110,di,13
Titia Korbee,Compilerbouw,h1,C0.110,di,9
Titia Korbee,Compilerbouw,h2,C0.110,di,11
Titia Korbee,Compilerbouw,p1,A1.10,do,13
Titia Korbee,Collectieve Intelligentie,h3,C0.110,di,15
Titia Korbee,Project Numerical Recipes,p1,C0.110,do,15
Kelly Doedens,Calculus 2,h1,C0.110,ma,9
Kelly Doedens,Databases 2,h1,C0.110,vr,13
Kelly Doedens,Calculus 2,w3,B0.201,wo,15
Kelly Doedens,Databases 2,w2,B0.201,do,13
Wytske Buining,Reflectie op de digitale cultuur,w3,A1.10,ma,13
Wytske Buining,Compilerbouw,p2,A1.10,wo,11
Wytske Buining,Algoritmen en complexiteit,h1,B0.201,di,9
Wytske Buining,Compilerbouw,w2,A1.10,wo,13
Wytske Buining,Algoritmen en complexiteit,p2,A1.10,wo,9
Wytske Buining,Databases 2,h1,C0.110,vr,13
Wytske Buining,Databases 2,w2,B0.201,do,13
Wytske Buining,Algoritmen en complexiteit,w1,A1.08,di,11
Wytske Buining,Compilerbouw,h1,C0.110,di,9
Wytske Buining,Programmeren in Java 2,p3,A1.10,vr,15
Wytske Buining,Compilerbouw,h2,C0.110,di,11
Wytske Buining,Reflectie op de digitale cultuur,h1,C0.110,ma,15
Wytske Buining,Reflectie op de digitale cultuur,h2,A1.10,di,9
Tamar Jongbloed,Programmeren in Java 2,p6,C1.112,wo,11
Tamar Jongbloed,Software engineering,p2,C1.112,di,9
Tamar Jongbloed,Kansrekenen 2,h2,C0.110,ma,11
Tamar Jongbloed,Kansrekenen 2,h1,C0.110,ma,13
Tamar Jongbloed,Project Genetic Algorithms,p3,A1.08,wo,13
Tamar Jongbloed,Machine Learning,h1,C1.112,do,15
Tamar Jongbloed,Software engineering,w2,A1.10,vr,13
Tamar Jongbloed,Machine Learning,h2,A1.06,di,11
Tamar Jongbloed,Software engineering,h1,C0.110,vr,11
Wijntje Plaizier,Programmeren in Java 2,p2,A1.08,do,11
