Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Josef van der Wiel,Analysemethoden en -technieken,h1,A1.10,ma,15
Josef van der Wiel,Netwerken en systeembeveiliging,p2,A1.04,di,11
Josef van der Wiel,Heuristieken 2,h1,C1.112,do,11
Josef van der Wiel,Heuristieken 2,w2,A1.10,vr,11
Josef van der Wiel,Project Genetic Algorithms,p2,A1.04,wo,15
Chrystel Kalshoven,Kansrekenen 2,h2,C0.110,do,15
Chrystel Kalshoven,Kansrekenen 2,h1,C0.110,wo,11
Chrystel Kalshoven,Lineaire Algebra,h1,A1.10,do,9
Chrystel Kalshoven,Programmeren in Java 2,p6,A1.04,vr,11
Chrystel Kalshoven,Compilerbouw practicum,p3,A1.10,ma,13
Chrystel Kalshoven,Netwerken en systeembeveiliging,p1,A1.10,do,13
Chrystel Kalshoven,Lineaire Algebra,h2,A1.10,do,11
Noud Menke,Compilerbouw,h1,C1.112,di,13
Noud Menke,Compilerbouw,p1,C0.110,di,15
Noud Menke,Programmeren in Java 2,p4,A1.08,ma,13
Noud Menke,Compilerbouw,w1,C0.110,di,11
Noud Menke,Compilerbouw,h2,C1.112,wo,15
Noud Menke,Zoeken sturen en bewegen,p1,A1.08,do,15
Talha Vermeeren,Data Mining,w3,A1.06,di,13
Talha Vermeeren,Data Mining,h1,C1.112,ma,9
Talha Vermeeren,Netwerken en systeembeveiliging,p1,A1.10,do,13
Talha Vermeeren,Data Mining,p1,A1.06,ma,13
Talha Vermeeren,Data Mining,h2,C1.112,ma,11
Renco van Weel,Kansrekenen 2,h2,C0.110,do,15
Renco van Weel,Kansrekenen 2,h1,C0.110,wo,11
Renco van Weel,Technology for games,h1,A1.10,vr,13
Renco van Weel,Software engineering,h1,C0.110,wo,13
Renco van Weel,Project Numerical Recipes,p3,A1.06,ma,15
Renco van Weel,Technology for games,h2,C1.112,di,11
Renco van Weel,Technology for games,w2,A1.08,vr,15
Renco van Weel,Software engineering,p1,C1.112,wo,11
Renco van Weel,Software engineering,w1,A1.10,wo,9
Filipe Wiersema,Autonomous Agents 2,h2,C0.110,wo,9
Filipe Wiersema,Databases 2,w1,A1.10,di,15
Filipe Wiersema,Compilerbouw,h1,C1.112,di,13
Filipe Wiersema,Databases 2,h1,C0.110,di,13
Filipe Wiersema,Autonomous Agents 2,p1,A1.06,wo,13
Filipe Wiersema,Compilerbouw,w1,C0.110,di,11
Filipe Wiersema,Compilerbouw,h2,C1.112,wo,15
Filipe Wiersema,Autonomous Agents 2,h1,A1.10,wo,11
Filipe Wiersema,Compilerbouw,p2,A1.04,do,13
Filipe Wiersema,Autonomous Agents 2,w2,A1.06,vr,11
Marco Gilsing,Moderne Databases,h1,C1.112,vr,13
Marco Gilsing,Moderne Databases,w3,C1.112,di,9
Marco Gilsing,Moderne Databases,p3,C0.110,vr,15
Roelof Adam,Webprogrammeren en databases,h2,B0.201,ma,13
Roelof Adam,Webprogrammeren en databases,p1,A1.08,ma,15
Roelof Adam,Webprogrammeren en databases,w1,A1.04,wo,13
Roelof Adam,Webprogrammeren en databases,h1,A1.10,di,13
Lucienne Caris,Algoritmen en complexiteit,h1,B0.201,di,11
Lucienne Caris,Compilerbouw,h1,C1.112,di,13
Lucienne Caris,Technology for games,w1,C1.112,vr,15
