Student,Vak,Activiteit,Zaal,Dag,Tijdslot
Renco van Weel,Software engineering,p1,C0.110,ma,17
Renco van Weel,Kansrekenen 2,h1,C0.110,ma,11
Renco van Weel,Technology for games,w1,A1.06,do,13
Renco van Weel,Technology for games,h1,A1.04,wo,11
Renco van Weel,Project Numerical Recipes,p1,C0.110,vr,17
Renco van Weel,Software engineering,h1,C0.110,ma,15
Renco van Weel,Software engineering,w2,A1.10,wo,13
Renco van Weel,Kansrekenen 2,h2,C0.110,ma,13
Renco van Weel,Technology for games,h2,C0.110,wo,9
Servaas Anker,Software engineering,p1,C0.110,ma,17
Servaas Anker,Architectuur en computerorganisatie,h1,B0.201,ma,9
Servaas Anker,Architectuur en computerorganisatie,h2,A1.06,ma,11
Servaas Anker,Software engineering,h1,C0.110,ma,15
Servaas Anker,Software engineering,w2,A1.10,wo,13
Dineke Valster,Heuristieken 1,h1,B0.201,ma,15
Dineke Valster,Heuristieken 1,w1,B0.201,di,15
Dineke Valster,Programmeren in Java 2,p5,C0.110,do,11
Elbertus Tamis,Kansrekenen 2,h2,C0.110,ma,13
Elbertus Tamis,Kansrekenen 2,h1,C0.110,ma,11
Yang van Munster,Project Numerical Recipes,p1,C0.110,vr,17
Scotty van der Stoel,Compilerbouw,w1,B0.201,wo,13
Scotty van der Stoel,Compilerbouw,p2,A1.04,di,13
Scotty van der Stoel,Compilerbouw,h1,C0.110,di,9
Scotty van der Stoel,Compilerbouw,h2,C0.110,di,11
Scotty van der Stoel,Programmeren in Java 2,p1,C0.110,do,15
Karolina Roodbeen,Zoeken sturen en bewegen,p1,A1.06,do,11
Karolina Roodbeen,Databases 2,w1,C1.112,vr,11
Karolina Roodbeen,Webprogrammeren en databases,h2,B0.201,do,13
Karolina Roodbeen,Collectieve Intelligentie,w7,A1.04,ma,11
Karolina Roodbeen,Webprogrammeren en databases,w3,A1.08,vr,11
Karolina Roodbeen,Collectieve Intelligentie,h2,C0.110,di,13
Karolina Roodbeen,Webprogrammeren en databases,p2,B0.201,wo,9
Karolina Roodbeen,Collectieve Intelligentie,h1,C0.110,di,15
Karolina Roodbeen,Collectieve Intelligentie,h3,C0.110,di,17
Karolina Roodbeen,Databases 2,h1,C0.110,vr,13
Karolina Roodbeen,Collectieve Intelligentie,p2,B0.201,vr,15
Karolina Roodbeen,Webprogrammeren en databases,h1,C1.112,do,15
Jiri Vinke,Collectieve Intelligentie,w3,A1.04,do,11
Jiri Vinke,Collectieve Intelligentie,p1,C0.110,do,9
Jiri Vinke,Collectieve Intelligentie,h1,C0.110,di,15
Jiri Vinke,Collectieve Intelligentie,h3,C0.110,di,17
Jiri Vinke,Collectieve Intelligentie,h2,C0.110,di,13
Nadeem Lagendijk,Kansrekenen 2,h2,C0.110,ma,13
Nadeem Lagendijk,Calculus 2,h1,C0.110,do,13
Nadeem Lagendijk,Kansrekenen 2,h1,C0.110,ma,11
Nadeem Lagendijk,Calculus 2,w2,C1.112,do,11
Ya Steeman,Zoeken sturen en bewegen,p3,C0.110,vr,15
Emircan van de Bunt,Compilerbouw,h2,C0.110,di,11
Emircan van de Bunt,Compilerbouw,h1,C0.110,di,9
Emircan van de Bunt,Compilerbouw,w2,C0.110,ma,9
Emircan van de Bunt,Compilerbouw,p1,C1.112,ma,11
